ablation,top1_success,top10_hits,normalized_regret,unique_loci,evidence_fidelity,duplicate_rate
full_cider,0.7,11.95,0.40480985920876267,33.15,0.9599999999999999,0.0
no_conformal,0.45,11.65,0.4244136171415448,32.9,0.9,0.0
no_info_gain,0.65,13.2,0.3826190848834813,33.9,0.9,0.0
no_top_tail,0.6,12.45,0.4103868158534169,32.35,0.9,0.0
no_dpp,0.7,11.95,0.40480985920876267,33.15,0.9,0.0
no_redundancy_penalty,0.6,12.0,0.41310049276798966,33.45,0.9,0.0
no_plm_prior,0.65,6.45,0.39724668227136134,31.95,0.9,0.0
no_llm_controller,0.7,11.95,0.40480985920876267,33.15,0.9599999999999999,0.0
local_lm_direct,0.4,11.5,0.41854168176651,38.25,0.75,0.0
