top1_success,top10_hits,best_percentile,normalized_regret,unique_loci,invalid_action_rate,cost_usd,DMS_id,seed,method
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,11,cider_gpt_oss_20b
1,6,99.368924309213,0.7887763977050781,35,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,random
1,7,99.78292286203208,0.7412623167037964,26,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,plm_greedy
1,6,99.78292286203208,0.7412623167037964,32,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,plm_diverse
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,ucb
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,ei
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,thompson
1,7,99.78292286203208,0.7412623167037964,26,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,prior_first_al
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,folde_lite
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,cider_fixed
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,cider_qwen35_4b
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,cider_qwen3_8b
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,23,cider_gpt_oss_20b
0,5,94.77886148382404,0.8691405057907104,38,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,random
1,7,99.78292286203208,0.7412623167037964,26,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,plm_greedy
1,6,99.78292286203208,0.7412623167037964,32,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,plm_diverse
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,ucb
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,ei
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,thompson
1,7,99.78292286203208,0.7412623167037964,26,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,prior_first_al
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,folde_lite
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,cider_fixed
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,cider_qwen35_4b
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,cider_qwen3_8b
1,7,99.49691315100466,0.778881847858429,22,0.0,0.0,HIS7_YEAST_Pokusaeva_2019,37,cider_gpt_oss_20b
1,16,99.9803019178769,0.2230831235647201,24,0.0,0.0,PHOT_CHLRE_Chen_2023,11,random
0,6,98.6527705650962,0.4541333019733429,5,0.0,0.0,PHOT_CHLRE_Chen_2023,11,plm_greedy
1,15,99.951053250482,0.2760635316371918,16,0.0,0.0,PHOT_CHLRE_Chen_2023,11,plm_diverse
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,11,ucb
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,11,ei
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,11,thompson
0,6,98.6527705650962,0.4541333019733429,5,0.0,0.0,PHOT_CHLRE_Chen_2023,11,prior_first_al
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,11,folde_lite
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,11,cider_fixed
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,11,cider_qwen35_4b
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,11,cider_qwen3_8b
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,11,cider_gpt_oss_20b
1,16,99.96000692417432,0.2659601867198944,26,0.0,0.0,PHOT_CHLRE_Chen_2023,23,random
0,6,98.6527705650962,0.4541333019733429,5,0.0,0.0,PHOT_CHLRE_Chen_2023,23,plm_greedy
1,15,99.951053250482,0.2760635316371918,16,0.0,0.0,PHOT_CHLRE_Chen_2023,23,plm_diverse
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,23,ucb
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,23,ei
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,23,thompson
0,6,98.6527705650962,0.4541333019733429,5,0.0,0.0,PHOT_CHLRE_Chen_2023,23,prior_first_al
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,23,folde_lite
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,23,cider_fixed
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,23,cider_qwen35_4b
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,23,cider_qwen3_8b
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,23,cider_gpt_oss_20b
1,18,99.89315282727168,0.3251858353614807,23,0.0,0.0,PHOT_CHLRE_Chen_2023,37,random
0,6,98.6527705650962,0.4541333019733429,5,0.0,0.0,PHOT_CHLRE_Chen_2023,37,plm_greedy
1,15,99.951053250482,0.2760635316371918,16,0.0,0.0,PHOT_CHLRE_Chen_2023,37,plm_diverse
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,37,ucb
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,37,ei
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,37,thompson
0,6,98.6527705650962,0.4541333019733429,5,0.0,0.0,PHOT_CHLRE_Chen_2023,37,prior_first_al
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,37,folde_lite
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,37,cider_fixed
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,37,cider_qwen35_4b
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,37,cider_qwen3_8b
1,14,99.9803019178769,0.2230831235647201,4,0.0,0.0,PHOT_CHLRE_Chen_2023,37,cider_gpt_oss_20b
0,11,98.68639528655598,0.7945399284362793,4,0.0,0.0,SPG1_STRSG_Wu_2016,11,random
1,26,99.76231922870916,0.5560836791992188,3,0.0,0.0,SPG1_STRSG_Wu_2016,11,plm_greedy
1,25,99.7649973219068,0.5549420118331909,4,0.0,0.0,SPG1_STRSG_Wu_2016,11,plm_diverse
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,11,ucb
0,17,98.254552758436,0.8389520049095154,2,0.0,0.0,SPG1_STRSG_Wu_2016,11,ei
